# estimate result
# timestamp tx ty tz qx qy qz qw
343.849890 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
343.954009 0.0675 -0.0055 0.5989 -0.0022 0.0312 0.0004 0.9995
344.057989 0.1762 -0.0094 1.1794 -0.0042 0.0651 0.0005 0.9979
344.162105 0.3216 -0.0120 1.7353 -0.0051 0.1012 0.0010 0.9949
344.266226 0.5104 -0.0140 2.2707 -0.0050 0.1380 0.0016 0.9904
344.370219 0.7352 -0.0161 2.7899 -0.0048 0.1750 0.0018 0.9846
344.474212 1.0065 -0.0158 3.2732 -0.0045 0.2112 0.0027 0.9774
344.578075 1.3085 -0.0185 3.7676 -0.0045 0.2473 0.0036 0.9689
344.681937 1.6397 -0.0149 4.2138 -0.0040 0.2829 0.0052 0.9591
344.785683 2.0020 -0.0119 4.6462 -0.0041 0.3182 0.0062 0.9480
344.889542 2.3970 -0.0116 5.0336 -0.0045 0.3519 0.0074 0.9360
344.993377 2.8228 -0.0114 5.4029 -0.0054 0.3838 0.0090 0.9233
345.096898 3.2800 0.0034 5.7280 -0.0060 0.4129 0.0099 0.9107
345.200606 3.7414 0.0049 6.0316 -0.0073 0.4402 0.0111 0.8978
345.304056 4.2515 0.0095 6.3233 -0.0084 0.4652 0.0110 0.8851
345.407513 4.7727 0.0162 6.6026 -0.0087 0.4885 0.0114 0.8725
345.511079 5.2878 0.0128 6.8578 -0.0105 0.5093 0.0105 0.8604
345.614480 5.8236 0.0231 7.1083 -0.0110 0.5281 0.0106 0.8490
345.717866 6.4010 0.0336 7.3411 -0.0126 0.5438 0.0098 0.8391
345.821343 6.9879 0.0349 7.5628 -0.0151 0.5587 0.0084 0.8292
345.924791 7.5777 0.0407 7.7604 -0.0170 0.5740 0.0068 0.8186
346.028294 8.1919 0.0450 7.9426 -0.0190 0.5891 0.0044 0.8079
346.131805 8.8191 0.0537 8.1191 -0.0196 0.6039 0.0028 0.7968
346.235421 9.4672 0.0652 8.2611 -0.0195 0.6182 0.0017 0.7858
346.339035 10.1387 0.0735 8.3810 -0.0192 0.6314 0.0007 0.7752
346.442654 10.8238 0.0822 8.4797 -0.0181 0.6437 0.0007 0.7651
346.546268 11.5219 0.0891 8.5712 -0.0171 0.6557 0.0009 0.7548
346.649908 12.2530 0.0992 8.6372 -0.0157 0.6669 0.0015 0.7450
346.753438 12.9929 0.1044 8.6835 -0.0149 0.6776 0.0018 0.7353
