# estimate result
# timestamp tx ty tz qx qy qz qw
343.849890 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
343.954009 0.0719 -0.0048 0.5891 -0.0022 0.0312 0.0005 0.9995
344.057989 0.1742 -0.0087 1.1661 -0.0042 0.0651 0.0006 0.9979
344.162105 0.3190 -0.0133 1.7200 -0.0051 0.1013 0.0011 0.9948
344.266226 0.5162 -0.0178 2.2526 -0.0051 0.1379 0.0018 0.9904
344.370219 0.7331 -0.0196 2.7607 -0.0048 0.1752 0.0021 0.9845
344.474212 0.9933 -0.0198 3.2497 -0.0047 0.2118 0.0031 0.9773
344.578075 1.2937 -0.0172 3.7405 -0.0044 0.2479 0.0040 0.9688
344.681937 1.6301 -0.0157 4.1896 -0.0040 0.2834 0.0055 0.9590
344.785683 1.9931 -0.0163 4.6184 -0.0043 0.3187 0.0066 0.9478
344.889542 2.3856 -0.0166 5.0092 -0.0048 0.3526 0.0077 0.9357
344.993377 2.8164 -0.0127 5.3942 -0.0053 0.3848 0.0098 0.9230
345.096898 3.2705 -0.0056 5.7452 -0.0067 0.4145 0.0104 0.9100
345.200606 3.7383 0.0011 6.0715 -0.0081 0.4422 0.0114 0.8968
345.304056 4.2362 0.0096 6.3568 -0.0086 0.4673 0.0117 0.8840
345.407513 4.7623 0.0146 6.6329 -0.0092 0.4904 0.0119 0.8714
345.511079 5.2862 0.0203 6.8930 -0.0105 0.5113 0.0110 0.8593
345.614480 5.8258 0.0289 7.1366 -0.0112 0.5300 0.0112 0.8479
345.717866 6.3990 0.0327 7.3588 -0.0133 0.5456 0.0103 0.8379
345.821343 6.9849 0.0431 7.5776 -0.0150 0.5607 0.0091 0.8279
345.924791 7.5822 0.0497 7.7743 -0.0168 0.5759 0.0078 0.8173
346.028294 8.2028 0.0585 7.9469 -0.0185 0.5908 0.0054 0.8066
346.131805 8.8311 0.0706 8.1091 -0.0189 0.6055 0.0037 0.7956
346.235421 9.4769 0.0800 8.2434 -0.0189 0.6195 0.0028 0.7847
346.339035 10.1449 0.0889 8.3605 -0.0187 0.6327 0.0018 0.7742
346.442654 10.8272 0.0973 8.4552 -0.0175 0.6450 0.0021 0.7640
346.546268 11.5240 0.1076 8.5403 -0.0162 0.6569 0.0023 0.7538
346.649908 12.2397 0.1155 8.5938 -0.0149 0.6678 0.0032 0.7442
346.753438 12.9800 0.1211 8.6430 -0.0142 0.6784 0.0034 0.7345
346.857011 13.7369 0.1292 8.6656 -0.0120 0.6884 0.0043 0.7252
346.960606 14.5082 0.1356 8.6642 -0.0093 0.6974 0.0062 0.7166
347.064350 15.2970 0.1451 8.6439 -0.0060 0.7061 0.0091 0.7080
347.167832 16.1066 0.1528 8.6045 -0.0047 0.7137 0.0124 0.7003
347.271452 16.9469 0.1591 8.5619 -0.0040 0.7209 0.0157 0.6928
347.375062 17.7848 0.1706 8.5041 -0.0039 0.7273 0.0168 0.6861
347.478594 18.6442 0.1809 8.4349 -0.0037 0.7331 0.0157 0.6799
347.582173 19.5113 0.1934 8.3509 -0.0025 0.7389 0.0139 0.6737
347.685789 20.4243 0.2077 8.2585 -0.0024 0.7449 0.0123 0.6671
347.789423 21.3368 0.2141 8.1453 -0.0035 0.7509 0.0125 0.6603
347.893020 22.2942 0.2202 8.0136 -0.0033 0.7563 0.0142 0.6541
347.996509 23.2170 0.2266 7.8516 -0.0018 0.7608 0.0152 0.6488
348.100125 24.1563 0.2324 7.6828 0.0012 0.7646 0.0156 0.6443
348.203616 25.1039 0.2391 7.5028 0.0040 0.7677 0.0139 0.6407
348.307232 26.0557 0.2432 7.3130 0.0066 0.7704 0.0130 0.6374
348.410848 27.0405 0.2482 7.1206 0.0077 0.7728 0.0128 0.6345
348.514336 28.0418 0.2562 6.9332 0.0068 0.7743 0.0130 0.6326
348.617856 29.0596 0.2635 6.7199 0.0061 0.7754 0.0140 0.6313
348.721316 30.0786 0.2657 6.5097 0.0070 0.7769 0.0149 0.6294
348.824933 31.1089 0.2707 6.2926 0.0064 0.7781 0.0147 0.6279
348.928558 32.1547 0.2743 6.0651 0.0059 0.7788 0.0143 0.6270
349.032039 33.2115 0.2805 5.8217 0.0064 0.7795 0.0146 0.6262
349.135779 34.2760 0.2840 5.5860 0.0068 0.7805 0.0142 0.6250
349.239396 35.3318 0.2864 5.3576 0.0057 0.7815 0.0127 0.6238
